timestep,reward
1,-0.7364
131,-0.1676
263,-0.1382
396,-0.1028
539,-0.099
677,-0.076
824,-0.064
968,-0.0787
1105,-0.0908
1248,-0.0808
1372,-0.0824
1503,-0.0726
1627,-0.0788
1768,-0.0492
1899,-0.0876
2036,-0.0838
2165,-0.0876
2299,-0.0849
2442,-0.0675
2570,-0.0712
2704,-0.0769
2847,-0.0522
2991,-0.0606
3130,-0.0674
3276,-0.0675
3409,-0.0554
3549,-0.0767
3693,-0.0708
3824,-0.0802
3966,-0.0725
4108,-0.0745
4248,-0.0715
4393,-0.0666
4548,-0.0683
4688,-0.0683
4835,-0.0627
4967,-0.0577
5113,-0.0667
5269,-0.0526
5416,-0.0499
5550,-0.0656
5690,-0.0462
5833,-0.0751
5980,-0.0637
6133,-0.0789
6271,-0.0757
6413,-0.0682
6559,-0.0688
6697,-0.0787
6834,-0.0671
