timestep,reward
2,0.24
314,5.556
604,1.24
889,2.617
1204,1.605
1527,1.673
1844,0.762
2139,2.727
2418,4.258
2694,1.165
2992,2.62
3291,2.649
3614,1.112
3939,2.505
4242,4.284
4524,3.609
4814,1.908
5113,1.747
5413,2.246
5705,2.517
6008,3.778
6294,6.816
6584,1.332
6900,3.845
7172,3.901
7447,5.383
7744,5.392
8099,6.609
8365,4.864
8697,5.672
8989,1.691
9298,1.24
9602,5.478
9915,4.59
10186,3.392
10508,7.312
10847,5.311
11160,3.36
11454,4.87
11782,3.472
12100,3.127
12406,5.495
12757,2.403
13063,7.436
13366,7.114
13690,2.712
14025,4.401
14329,2.777
14686,4.435
15031,6.38
15391,8.343
15717,6.353
16045,4.481
16380,6.72
16694,5.368
17038,7.738
17329,8.013
17638,6.53
17996,2.715
18340,6.147
18642,5.971
18954,4.665
19251,7.907
19574,7.029
19913,5.904
20241,3.506
20570,6.282
20906,6.168
21249,6.29
21596,9.12
21936,4.504
22267,5.75
22623,5.802
23021,10.432
23378,6.461
23679,4.494
24019,7.343
24329,6.881
24658,8.695
25003,5.422
25347,4.29
25687,5.954
26066,4.751
26439,3.055
26785,6.167
27124,8.451
27457,7.73
27828,7.405
28172,7.827
28515,7.684
28895,6.822
29284,4.556
29657,6.551
30019,7.581
30389,4.202
30746,8.973
31083,5.901
31437,2.778
31809,5.601
32144,7.18
